imdb_title_id,weighted_average_vote,total_votes,mean_vote,median_vote
tt0015909,6.5,151,7.0,7.0
tt0016004,7.3,978,7.5,8.0
tt0016005,6.6,544,6.4,7.0
tt0016013,7.2,475,7.5,8.0
tt0016023,6.0,448,8.4,9.0
tt0016028,6.7,877,7.6,8.0
tt0016029,7.1,1420,7.2,7.0
tt0016123,6.2,906,6.4,6.0
tt0016142,6.4,105,6.7,6.0
tt0016201,6.2,205,6.2,6.0
tt0016205,6.7,127,7.2,7.0
tt0016226,6.0,269,6.3,6.0
tt0016230,6.0,2111,6.1,6.0
tt0016241,3.7,132,3.4,2.0
tt0016258,7.1,319,7.3,7.0
tt0016276,6.6,297,6.6,7.0
tt0016288,6.4,170,6.6,7.0
tt0016294,6.8,126,6.7,7.0
tt0016308,6.6,483,6.8,7.0
tt0016309,3.8,132,4.2,2.0
tt0016332,7.9,8943,7.8,8.0
tt0016338,6.1,113,6.2,6.0
tt0016377,4.1,112,7.0,8.0
tt0016394,6.5,831,8.0,9.0
tt0016395,7.2,277,7.4,7.0
tt0016461,6.5,538,7.0,7.0
tt0016473,7.2,1613,7.3,7.0
tt0016480,6.8,288,7.0,7.0
tt0016545,5.8,242,5.9,6.0
tt0016560,5.4,609,8.3,9.0
tt0016627,7.0,1050,7.7,8.0
tt0016629,6.5,678,6.7,7.0
tt0016630,7.0,2820,7.1,7.0
tt0016634,7.0,338,7.2,7.0
tt0016640,6.5,354,6.6,7.0
tt0016643,6.3,217,6.5,7.0
tt0016646,5.9,451,8.3,9.0
tt0016655,6.8,618,6.9,7.0
tt0016664,5.5,139,5.6,6.0
tt0016672,5.0,438,5.2,5.0
tt0016690,6.2,1402,8.2,10.0
tt0016762,6.6,142,7.0,7.0
tt0016804,7.0,728,7.2,7.0
tt0016822,6.7,888,7.9,8.0
tt0016827,4.6,120,7.3,8.0
tt0016832,6.9,399,7.2,7.0
tt0016854,6.4,208,6.6,7.0
tt0016895,7.5,1401,7.5,8.0
tt0016939,6.3,270,6.5,7.0
tt0016947,6.6,213,7.0,7.0
tt0016971,6.0,127,6.3,6.0
tt0017004,6.4,245,6.6,7.0
tt0017028,6.9,130,7.0,7.0
tt0017029,6.7,399,7.3,8.0
tt0017103,6.7,545,6.8,7.0
tt0017119,6.8,309,7.1,7.0
tt0017120,6.8,315,7.1,7.0
tt0017184,5.7,101,6.0,6.0
tt0017198,5.2,227,7.4,8.0
tt0017329,6.6,150,7.0,7.0
tt0017350,7.7,1542,7.7,8.0
tt0017354,6.5,136,6.7,7.0
tt0017374,5.8,126,5.8,6.0
tt0017382,6.8,245,7.1,7.0
tt0017409,7.0,317,7.3,7.0
tt0017410,6.2,167,6.7,7.0
tt0017416,6.6,1788,7.4,7.0
tt0017419,6.2,206,7.2,7.0
tt0017423,7.3,1148,7.5,8.0
tt0017437,6.7,766,6.8,7.0
tt0017449,6.9,1066,7.0,7.0
tt0017463,7.5,1010,7.5,8.0
tt0017480,6.9,691,7.1,7.0
tt0017483,6.1,604,6.1,6.5
tt0017519,6.6,122,6.8,7.0
tt0017567,7.0,690,7.3,7.0
tt0017619,7.5,339,7.4,10.0
tt0017632,5.9,355,7.5,8.0
tt0017667,6.9,701,7.5,8.0
tt0017735,6.8,228,7.4,7.0
tt0017739,7.1,2654,7.2,7.0
tt0017750,7.1,374,7.3,7.0
tt0017765,7.1,4268,7.1,7.0
tt0017825,6.1,2082,6.2,6.0
tt0017832,4.8,206,6.9,7.0
tt0017843,5.7,2465,5.7,6.0
tt0017860,5.6,710,8.1,9.0
tt0017886,6.4,193,6.5,7.0
tt0017918,6.9,284,7.2,7.0
